EmployeeID,Gender,Age,AttritionDate,HighestQualification,EducationField,Department,JobRole,PercentSalaryHike,Experience,YearsAtCompany,YearsSinceLastPromotion,Salary,PerformanceRating
1,Female,41,2023-01-23,"Associates Degree","Life Sciences",Sales,"Sales Executive",11,8,6,0,5993,3
4,Male,37,2022-09-12,"Doctoral Degree",Other,"Research & Development","Laboratory Technician",15,7,0,0,2090,3
19,Male,28,2022-09-19,"Doctoral Degree","Life Sciences","Research & Development","Laboratory Technician",14,6,4,0,2028,3
27,Male,36,2022-12-03,"Masters Degree","Life Sciences",Sales,"Sales Representative",23,10,5,0,3407,4
31,Male,34,2022-11-24,"Bachelors Degree",Medical,"Research & Development","Research Scientist",11,8,4,1,2960,3
33,Female,32,2022-08-26,"Masters Degree","Life Sciences","Research & Development","Research Scientist",22,10,10,6,3919,4
42,Male,39,2022-12-23,"Doctoral Degree","Technical Degree",Sales,"Sales Representative",14,19,1,0,2086,3
45,Male,24,2022-11-13,"Bachelors Degree",Medical,"Research & Development","Research Scientist",16,6,2,2,2293,3
47,Male,50,2022-11-03,"Masters Degree",Marketing,Sales,"Sales Representative",14,3,3,0,2683,3
55,Male,26,2023-01-11,"Associates Degree","Life Sciences","Research & Development","Laboratory Technician",12,1,1,0,2293,3
58,Female,41,2023-01-21,"Doctoral Degree","Technical Degree","Research & Development","Research Director",12,23,22,15,19545,3
64,Male,48,2022-08-17,"Masters Degree","Life Sciences","Research & Development","Laboratory Technician",13,23,1,0,5381,3
65,Male,28,2022-11-19,"Associates Degree","Technical Degree","Research & Development","Laboratory Technician",13,2,2,2,3441,3
90,Male,36,2022-12-23,"Bachelors Degree",Medical,"Research & Development","Research Scientist",17,2,1,0,3388,3
118,Male,46,2022-08-11,"Doctoral Degree",Medical,Sales,"Sales Executive",16,9,9,4,9619,3
133,Male,37,2022-07-18,"Masters Degree","Human Resources","Human Resources","Human Resources",22,7,3,0,2073,4
137,Female,20,2022-08-25,"High School","Life Sciences","Research & Development","Laboratory Technician",18,1,1,1,2926,3
142,Male,25,2022-09-15,"Bachelors Degree",Marketing,Sales,"Sales Executive",11,6,6,0,5744,3
147,Male,34,2022-09-04,"Doctoral Degree","Life Sciences","Research & Development","Laboratory Technician",24,9,9,0,6074,4
161,Female,56,2022-05-13,"Associates Degree","Life Sciences","Research & Development","Research Scientist",18,7,5,4,4963,3
163,Male,31,2022-11-09,"Doctoral Degree","Life Sciences",Sales,"Sales Executive",18,12,7,7,6172,3
165,Female,58,2022-04-26,"Doctoral Degree",Medical,"Research & Development","Healthcare Representative",12,40,40,15,10312,3
167,Male,19,2022-09-30,"High School",Marketing,Sales,"Sales Representative",19,0,0,0,1675,3
175,Female,31,2022-07-22,"Bachelors Degree","Life Sciences",Sales,"Sales Executive",11,4,2,2,4559,3
179,Male,51,2022-04-16,"Associates Degree","Life Sciences","Research & Development","Manufacturing Director",15,18,4,0,10650,3
190,Female,32,2022-11-09,"Masters Degree",Medical,"Research & Development","Laboratory Technician",22,10,5,0,4200,4
235,Female,19,2021-08-03,"High School","Technical Degree",Sales,"Sales Representative",21,1,0,0,2325,4
243,Male,19,2021-07-16,"High School","Life Sciences","Research & Development","Laboratory Technician",22,1,1,1,1102,4
248,Female,41,2021-11-05,"Masters Degree",Marketing,Sales,"Sales Representative",22,4,4,0,3140,4
261,Male,35,2022-04-12,"Masters Degree","Life Sciences","Research & Development","Manufacturing Director",13,8,1,0,5916,3
282,Male,38,2022-04-19,"Bachelors Degree",Medical,"Research & Development","Healthcare Representative",19,17,1,0,6673,3
283,Female,29,2022-04-26,"Bachelors Degree",Marketing,Sales,"Sales Executive",22,10,10,1,7639,4
291,Male,32,2021-02-15,"Associates Degree",Medical,Sales,"Sales Executive",11,14,14,9,10400,3
297,Female,30,2021-04-15,"Bachelors Degree","Technical Degree","Research & Development","Research Scientist",11,8,5,0,2657,3
299,Female,30,2021-12-18,"Associates Degree",Marketing,Sales,"Sales Executive",15,9,6,0,6696,3
300,Male,29,2021-02-26,"Doctoral Degree","Technical Degree","Research & Development","Research Scientist",14,7,6,1,2058,3
315,Male,29,2022-05-19,"Associates Degree",Medical,"Research & Development","Research Scientist",13,4,4,0,2389,3
325,Male,33,2021-12-18,"Bachelors Degree",Medical,"Research & Development","Laboratory Technician",13,8,5,0,2436,3
328,Female,33,2021-11-02,"Bachelors Degree","Life Sciences","Research & Development","Laboratory Technician",20,13,9,1,2707,4
331,Male,32,2022-06-14,"Doctoral Degree","Life Sciences","Research & Development","Laboratory Technician",14,4,3,1,3730,3
342,Male,37,2022-04-08,"Bachelors Degree",Medical,"Research & Development","Manufacturing Director",11,17,1,0,10048,3
355,Male,31,2022-03-29,"Associates Degree",Medical,"Research & Development","Laboratory Technician",11,6,5,1,3479,3
364,Male,28,2022-08-24,"Associates Degree","Life Sciences","Research & Development","Laboratory Technician",11,5,0,0,3485,3
376,Male,47,2022-01-12,"Bachelors Degree","Life Sciences","Research & Development",Manager,12,10,10,9,11849,3
392,Male,44,2022-04-16,"Bachelors Degree","Life Sciences","Research & Development","Laboratory Technician",22,19,1,0,3161,4
394,Male,26,2021-10-14,"Bachelors Degree",Medical,"Research & Development","Laboratory Technician",13,5,3,0,2373,3
401,Male,26,2021-12-15,"Bachelors Degree",Marketing,Sales,"Sales Executive",12,8,8,7,5828,3
405,Male,18,2022-01-28,"High School","Life Sciences","Research & Development","Laboratory Technician",13,0,0,0,1420,3
433,Male,52,2022-02-05,"Masters Degree",Medical,"Research & Development","Research Scientist",15,11,8,7,4941,3
440,Male,28,2021-11-07,"Associates Degree",Medical,"Research & Development","Research Scientist",13,5,3,2,3464,3
445,Female,39,2021-09-14,"Bachelors Degree",Medical,Sales,"Sales Executive",18,12,1,0,5238,3
454,Male,29,2021-09-14,"Associates Degree",Other,"Research & Development","Laboratory Technician",11,7,7,0,2119,3
478,Female,21,2022-02-22,"Bachelors Degree","Technical Degree",Sales,"Sales Representative",11,3,3,1,2174,3
485,Female,33,2022-01-20,"Masters Degree",Marketing,Sales,"Sales Representative",13,1,1,0,2851,3
488,Male,41,2021-06-06,"Doctoral Degree",Marketing,Sales,"Sales Executive",18,8,8,7,9355,3
492,Male,40,2022-01-09,"Masters Degree",Marketing,Sales,"Sales Executive",12,8,6,1,6380,3
494,Female,21,2022-04-09,"High School","Life Sciences",Sales,"Sales Representative",15,1,1,0,2716,3
502,Male,34,2022-07-09,"Associates Degree",Marketing,Sales,"Sales Executive",13,9,5,0,5304,3
510,Male,26,2022-09-13,"Associates Degree","Technical Degree","Research & Development","Research Scientist",22,7,6,0,3102,4
514,Male,30,2022-12-18,"Associates Degree","Technical Degree","Research & Development","Research Scientist",23,3,1,0,2285,4
538,Male,25,2022-07-29,"Masters Degree",Medical,"Research & Development","Laboratory Technician",13,6,2,0,4031,3
554,Female,24,2022-09-22,"Bachelors Degree","Technical Degree",Sales,"Sales Representative",16,6,5,1,3202,3
555,Female,34,2022-12-01,"Associates Degree",Marketing,Sales,"Sales Representative",16,3,2,1,2351,3
565,Female,29,2022-11-03,"Masters Degree","Technical Degree","Research & Development","Research Scientist",16,6,2,1,2546,3
566,Male,19,2022-06-20,"High School","Technical Degree","Human Resources","Human Resources",12,1,1,0,2564,3
582,Male,33,2022-07-27,"Masters Degree",Medical,"Research & Development",Manager,12,15,7,7,13610,3
584,Male,33,2022-06-12,"Masters Degree",Medical,"Research & Development","Laboratory Technician",13,8,4,1,3408,3
587,Male,31,2022-09-13,"Doctoral Degree","Life Sciences","Research & Development","Healthcare Representative",12,12,1,0,9824,3
590,Female,34,2022-08-06,"Associates Degree","Human Resources","Human Resources","Human Resources",15,11,3,0,9950,3
593,Male,22,2022-06-21,"Associates Degree","Technical Degree","Research & Development","Laboratory Technician",16,4,2,1,3894,3
608,Female,26,2021-06-12,"Bachelors Degree","Life Sciences","Human Resources","Human Resources",11,8,7,1,2741,3
614,Male,18,2022-04-21,"High School",Marketing,Sales,"Sales Representative",14,0,0,0,1878,3
622,Male,26,2021-06-20,"Associates Degree","Technical Degree","Research & Development","Laboratory Technician",18,1,1,0,2340,3
631,Male,32,2022-03-21,"Doctoral Degree",Other,Sales,"Sales Executive",12,6,4,1,4707,3
647,Female,24,2022-01-20,"Associates Degree","Life Sciences","Research & Development","Laboratory Technician",16,6,6,1,2886,3
648,Male,30,2022-03-13,"Associates Degree","Life Sciences",Sales,"Sales Representative",18,1,1,0,2033,3
650,Male,31,2022-04-28,"Bachelors Degree",Medical,Sales,"Sales Executive",17,9,3,1,4233,3
667,Male,27,2021-06-16,"Bachelors Degree",Marketing,Sales,"Sales Representative",11,5,4,0,3041,3
684,Female,45,2022-02-09,"Masters Degree","Life Sciences",Sales,"Sales Executive",14,5,1,0,4286,3
701,Male,20,2021-12-03,"High School",Medical,"Research & Development","Research Scientist",11,1,1,1,1009,3
702,Male,33,2021-05-28,"Associates Degree","Life Sciences","Research & Development","Research Scientist",11,10,10,9,3348,3
720,Female,24,2020-10-25,"Associates Degree","Life Sciences",Sales,"Sales Executive",14,4,2,2,4577,3
723,Male,50,2020-12-30,"Bachelors Degree","Technical Degree",Sales,"Sales Executive",14,18,4,1,6796,3
741,Female,28,2020-07-12,"Bachelors Degree","Life Sciences","Research & Development","Research Scientist",13,10,7,3,2216,3
752,Male,42,2020-10-15,"Bachelors Degree",Medical,"Research & Development","Research Scientist",12,7,2,2,2759,3
780,Male,33,2021-12-01,"Bachelors Degree",Other,"Research & Development","Research Scientist",13,10,10,7,2686,3
785,Female,47,2020-07-11,"Bachelors Degree","Life Sciences",Sales,"Sales Executive",12,8,5,1,6397,3
787,Male,55,2021-02-20,"Associates Degree",Medical,"Research & Development",Manager,13,24,5,1,19859,3
796,Male,26,2020-07-18,"Doctoral Degree","Technical Degree",Sales,"Sales Executive",17,6,4,1,5326,3
811,Male,23,2022-06-28,"High School","Life Sciences","Research & Development","Laboratory Technician",21,1,0,0,1601,4
816,Female,29,2021-12-08,"Associates Degree","Life Sciences","Research & Development","Laboratory Technician",11,1,1,0,2319,3
819,Female,33,2021-08-12,"Masters Degree",Marketing,Sales,"Sales Executive",15,6,3,0,5324,3
825,Male,58,2021-08-29,"Associates Degree","Life Sciences","Research & Development","Research Director",12,40,31,13,19246,3
