EmployeeNumber,Field,Attrition
1,"Life Sciences",Yes
2,"Life Sciences",No
4,Other,Yes
5,"Life Sciences",No
7,Medical,No
8,"Life Sciences",No
10,Medical,No
11,"Life Sciences",No
12,"Life Sciences",No
13,Medical,No
14,Medical,No
15,"Life Sciences",No
16,"Life Sciences",No
18,Medical,No
19,"Life Sciences",Yes
20,"Life Sciences",No
21,"Life Sciences",No
22,Medical,No
23,"Life Sciences",No
24,"Life Sciences",No
26,Other,No
27,"Life Sciences",Yes
28,"Life Sciences",No
30,"Life Sciences",No
31,Medical,Yes
32,Other,No
33,"Life Sciences",Yes
35,Marketing,No
36,Medical,No
38,Marketing,No
39,Medical,No
40,Other,No
41,Medical,No
42,"Technical Degree",Yes
45,Medical,Yes
46,Medical,No
47,Marketing,Yes
49,Marketing,No
51,"Life Sciences",No
52,"Life Sciences",No
53,Other,No
54,"Life Sciences",No
55,"Life Sciences",Yes
56,"Life Sciences",No
57,Medical,No
58,"Technical Degree",Yes
60,Marketing,No
61,"Life Sciences",No
62,Marketing,No
63,"Life Sciences",No
64,"Life Sciences",Yes
65,"Technical Degree",Yes
68,Marketing,No
70,Medical,No
72,Marketing,No
73,"Life Sciences",No
74,"Life Sciences",No
75,Medical,No
76,"Life Sciences",No
77,"Life Sciences",No
78,Medical,No
79,"Life Sciences",No
80,Medical,No
81,"Life Sciences",No
83,"Technical Degree",No
84,Medical,No
85,"Life Sciences",No
86,"Life Sciences",No
88,Medical,No
90,Medical,Yes
91,"Life Sciences",No
94,"Life Sciences",No
95,Medical,No
96,"Life Sciences",No
97,"Life Sciences",No
98,"Life Sciences",No
100,Marketing,No
101,Other,No
102,Medical,No
103,Medical,No
104,"Life Sciences",No
105,Medical,No
106,"Life Sciences",No
107,Medical,No
110,Medical,No
112,"Life Sciences",No
113,"Technical Degree",No
116,"Life Sciences",No
117,"Life Sciences",No
118,Medical,Yes
119,"Life Sciences",No
120,Marketing,No
121,Medical,No
124,Medical,No
125,Medical,No
126,"Technical Degree",No
128,Other,No
129,Medical,No
131,Medical,No
132,Medical,No
133,"Human Resources",Yes
134,"Life Sciences",No
137,"Life Sciences",Yes
138,Other,No
139,"Life Sciences",No
140,"Human Resources",No
141,"Life Sciences",No
142,Marketing,Yes
143,Medical,No
144,Medical,No
145,Medical,No
147,"Life Sciences",Yes
148,"Human Resources",No
150,"Life Sciences",No
151,"Life Sciences",No
152,"Life Sciences",No
153,Medical,No
154,"Technical Degree",No
155,"Life Sciences",No
158,"Life Sciences",No
159,"Life Sciences",No
160,Marketing,No
161,"Life Sciences",Yes
162,"Life Sciences",No
163,"Life Sciences",Yes
164,Other,No
165,Medical,Yes
167,Marketing,Yes
169,"Technical Degree",No
170,Medical,No
171,Medical,No
174,Marketing,No
175,"Life Sciences",Yes
176,"Life Sciences",No
177,"Life Sciences",No
178,Medical,No
179,"Life Sciences",Yes
182,"Life Sciences",No
183,"Life Sciences",No
184,"Human Resources",No
190,Medical,Yes
192,Medical,No
193,"Technical Degree",No
194,"Life Sciences",No
195,Medical,No
197,"Technical Degree",No
198,Medical,No
199,"Life Sciences",No
200,"Life Sciences",No
201,Medical,No
202,Medical,No
204,Marketing,No
205,Marketing,No
206,"Life Sciences",No
207,Marketing,No
208,"Technical Degree",No
211,Medical,No
214,Medical,No
215,Marketing,No
216,Marketing,No
217,Medical,No
218,Medical,No
221,Medical,No
223,"Life Sciences",No
224,Medical,No
226,"Life Sciences",No
227,"Life Sciences",No
228,"Life Sciences",No
230,"Life Sciences",No
231,"Life Sciences",No
233,"Technical Degree",No
235,"Technical Degree",Yes
238,Medical,No
239,Medical,No
240,"Life Sciences",No
241,"Life Sciences",No
242,"Life Sciences",No
243,"Life Sciences",Yes
244,Marketing,No
245,"Life Sciences",No
246,Medical,No
247,Medical,No
248,Marketing,Yes
249,Medical,No
250,Medical,No
252,Medical,No
253,Medical,No
254,Medical,No
256,"Life Sciences",No
